Time Stamp,Region,Latitude,Longitude,Number of cases
3/16/2020,Alhambra,34.093042,-118.12706,2
3/16/2020,Arcadia,34.1362075,-118.0401497,1
3/16/2020,Beverly Hills,34.0696501,-118.3963062,1
3/16/2020,Boyle Heights,34.0436892,-118.2097684,5
3/16/2020,Carson,33.8322043,-118.2517547,1
3/16/2020,City,34.0536909,-118.2427666,2
3/16/2020,Diamond Bar,34.0286226,-117.8103367,2
3/16/2020,Encino,34.1591324,-118.5016166,3
3/16/2020,Gardena,33.8963593,-118.3053037,1
3/16/2020,Glendale,34.1469416,-118.2478471,2
3/16/2020,Glendora,34.1361187,-117.865339,1
3/16/2020,Granada Hills,34.2661558,-118.5174342,3
3/16/2020,Inglewood,33.9562003,-118.353132,2
3/16/2020,La Mirada,33.9060971,-118.0107092,2
3/16/2020,Lancaster,34.6981064,-118.1366153,1
3/16/2020,Manhattan Beach,33.8915985,-118.3951241,3
3/16/2020,Melrose,34.0536909,-118.2427666,2
3/16/2020,Northridge,34.2345615,-118.5369316,1
3/16/2020,San Dimas,34.1066756,-117.8067257,1
3/16/2020,San Pedro,33.7358518,-118.2922934,1
3/16/2020,Santa Monica,34.0194704,-118.4912273,1
3/16/2020,Sherman Oaks,34.1508718,-118.4489865,2
3/16/2020,Silverlake,34.092941,-118.2697155,1
3/16/2020,Tarzana,34.1714436,-118.5429789,5
3/16/2020,Torrance,33.8358492,-118.3406288,2
3/16/2020,Venice,33.995044,-118.4668875,1
3/16/2020,West Adams,34.0294356,-118.3524833,1
3/16/2020,West Hills,34.2032325,-118.645476,3
3/16/2020,West Hollywood,34.0923014,-118.3692894,5
3/16/2020,West Vernon,34.007135,-118.22525,1
3/16/2020,Westchester,33.9597349,-118.4006322,1
3/17/2020,Alhambra,34.093042,-118.12706,1
3/17/2020,Altadena,34.1863161,-118.1352329,1
3/17/2020,Arcadia,34.1362075,-118.0401497,1
3/17/2020,Baldwin Hills,34.0109887,-118.3370709,1
3/17/2020,Beverly Hills,34.0696501,-118.3963062,1
3/17/2020,Boyle Heights,34.0436892,-118.2097684,5
3/17/2020,Brentwood,34.0521403,-118.4740699,1
3/17/2020,Carson,33.8322043,-118.2517547,1
3/17/2020,Culver City,34.0211224,-118.3964665,2
3/17/2020,Diamond Bar,34.0286226,-117.8103367,2
3/17/2020,Eagle Rock,34.1366877,-118.2076796,1
3/17/2020,Encino,34.1591324,-118.5016166,5
3/17/2020,Gardena,33.8963593,-118.3053037,1
3/17/2020,Glendale,34.1469416,-118.2478471,3
3/17/2020,Granada Hills,34.2661558,-118.5174342,3
3/17/2020,Hollywood,34.0980031,-118.3295232,1
3/17/2020,Hollywood Hills,34.1311792,-118.3355474,2
3/17/2020,Inglewood,33.9562003,-118.353132,1
3/17/2020,La Mirada,33.9060971,-118.0107092,3
3/17/2020,Lynwood,33.924831,-118.2024154,1
3/17/2020,Manhattan Beach,33.8915985,-118.3951241,4
3/17/2020,Mar Vista,34.0037605,-118.4391641,1
3/17/2020,Melrose,34.0536909,-118.2427666,9
3/17/2020,Monterey Park,34.051522,-118.129807,1
3/17/2020,North Hollywood,34.1729044,-118.3740371,1
3/17/2020,Northridge,34.2345615,-118.5369316,1
3/17/2020,Reseda,34.2000784,-118.5369884,1
3/17/2020,San Dimas,34.1066756,-117.8067257,1
